# June 27th Update

# =============================================================================
# Codex
# =============================================================================

codex_viewchangelog							Kompletní seznam změn
codex_legal									Právní
codex_privacy								Zásady ochrany osobních údajů
codex_terms-of-use							Podmínky použití
codex_eula									licenční smlouvu s koncovým uživatelem


# =============================================================================
# Interface Mode
# =============================================================================
													
interfacemode_wallsanddoors                        			Zdi a dveře
interfacemode_flooring							Podlahy
tunnelsearch_underway							PROBÍHÁ VYHLEDÁVÁNÍ TUNELU

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_wallsanddoors					Různé typy zdí a dveří
buildtoolbar_popup_flooring						Různé styly podlah
buildtoolbar_popup_spawn						Otevři nabídku Zrození.
buildtoolbar_tunnelsearch						Hledání tunelu

buildtoolbar_tooltip_tunnelsearch					Máš podezření, že někdo plánuje útěk? Nařiď svým dozorcům prohledat všechny toalety.		

buildtoolbar_GuardResponse						Reakce dozorců	
buildtoolbar_tooltip_GuardResponse					Když je tato možnost aktivní, můžeš kliknutím levým tlačítkem na mapu přivolat okolní dozorce na zvolené místo. Čím víc kliknutí, tím víc dozorců přivoláš. Pravým kliknutím akci zastavíš.


# =============================================================================
# New Materials
# =============================================================================


material_NewTiledWall							Kachlíková zeď
material_NewBarredWall							Mřížová zeď
material_NewBBlockWall							Bílá zeď
material_NewHedgeWall							Plot
material_NewIronFloor							Železná podlaha
material_NewCargoFloor							Skládaná podlaha
material_NewCheckeredFloor						Šachová podlaha
material_Snow								Sníh



# =============================================================================
# Misc
# =============================================================================

double_click_select_desc							Dvojitým levým kliknutím sleduj toto *E

quickbuild_intermediatecell							Vylepšená cela
quickbuild_holdingcell								Vazba
quickbuild_medical								Ošetřovna
quickbuild_shop									Obchod
quickbuild_shower								Sprchy
quickbuild_staffroom								Místnost pro zaměstnance
quickbuild_workshop								Dílna

# =============================================================================
# Main Menu
# =============================================================================

mm_updatenotes_Date								27. června 2019
mm_updatenotes_Header								Aktualizace lapáku
mm_updatenotes_01								Byly přidány 4 nové typy podlah a 4 nové typy zdí.
mm_updatenotes_02								Vylepšení výkonu, která pomohou zkrátit dobu načítání.
mm_updatenotes_03								Vyšší počet předáků, které lze najmout - pro větší vězení, kde předáci také vyučují.
mm_updatenotes_04								Existující předměty mají nyní kompletní sadu rotace, přičemž přibyly nové sprity pro chybějící úhly.
mm_updatenotes_05								Nové tlačítko 'Reakce dozorců', které přikáže stávajícím okolním dozorcům přijít na zvolené místo, než aby si hráči museli najmout další dozorce kvůli řešení incidentů. 
mm_updatenotes_06								Nové tlačítko 'Hledání tunelu', které přikáže dozorcům konkrétně prohledat všechny toalety kvůli skrytým únikovým tunelům.  
mm_updatenotes_07								Do nabídky Rychlá stavba přibyly další Rychlé místnosti pro rychlejší a snazší stavbu místností.
mm_updatenotes_08								Sledování vězňů a zaměstnanců je o dost jednodušší díky dvojitému kliknutí.
mm_updatenotes_09								Možnost přesouvat předměty je tady! Vyber si předmět a dvakrát na něj klikni.
mm_updatenotes_10								Doufáme, že se ti hra bude s těmito vylepšeními líbit!

# =============================================================================
# =============================================================================


############################### SLAMMER UPDATE ###############################

# =============================================================================
# Materials - Names
# =============================================================================

material_newmud									Bahno
material_mud									Bahno
material_yutaniwall								Zeď (Yutani)
material_solacofloor							Solaco
material_gratefloor								Mřížoví

# =============================================================================
# Objects - Names
# =============================================================================


object_snowyconifertree							Strom (Zasněžený jehličnan)
object_palmtree									Strom (Palma)
object_plant									Rostlina
object_bush										Keř
object_streetlamp								Pouliční lampa
object_floodlight								Světlo (Reflektor)
object_bleachers								Lavice
object_smallbench								Lavička (Malá)
object_smalltable								Stůl (Malý)
object_showerpillar								Sprchový sloupek
object_doorMat									Rohožka
object_GuardPavilion							Pavilon strážných
object_GuardPavilionCorner						Pavilon strážných (Roh)
object_OfficeChair								Židle (Kancelář)
object_visitorDoor								Dveře pro návštěvníky
object_ironingBoardShort						Žehlicí prkno (Malé)
object_fencegatestaff							Brána plotu (Pro zaměstnance)
object_fencegatestandard						Brána plotu (Standardní)
object_fencegatevisitor							Brána plotu (Pro návštěvníky)
object_walllight								Nástěnné osvětlení
object_securedoor								Dveře (Zabezpečené)
object_secretdoor								Dveře (Tajné)

# =============================================================================
# Build Toolbar
# =============================================================================

buildtoolbar_popup_mat_newmud					Je to bahno a je zadarmo!
buildtoolbar_popup_mat_yutaniwall				Postavte na svých základech zdi s hi-tech vzhledem, abyste vytvořili nové oblasti nebo místnosti. Skvěle se hodí k podlahám Nákladní loď a Solaco.
buildtoolbar_popup_mat_newbblockwall			Postavte na svých základech zdi vyrobené z tvárnic, abyste vytvořili nové oblasti nebo místnosti.
buildtoolbar_popup_mat_newbarredwall			Postavte na svých základech zamřížované zdi, abyste vytvořili nové oblasti nebo místnosti.
buildtoolbar_popup_mat_newtiledwall				Postavte na svých základech zdi s kachličkami, abyste vytvořili nové oblasti nebo místnosti.
